joint_number,J. len [ft],Wt [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,Depth [in],OD Reduction [%],OD Reduction [in],Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
4160.01,,0.5,-0.03,7.4,14960.87,metal loss,External,24.0,0.12,,,affecting girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,1967.64,2732.84,2086.11,2897.37,2087.25,2898.96,0.56,2.5,2015,534,4560.073176000001,-0.009144,157.0,25.907999999999998,14.985999999999999,4560.073176000001
4160.01,,0.5,-5.18,2.26,14966.01,metal loss,External,11.0,0.055,,,,,0.7,42.55,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,538,4561.639848000001,-1.578864,178.5,60.959999999999994,35.05199999999999,4561.639848000001
4160.01,,0.5,-5.29,2.14,14966.13,metal loss,External,10.0,0.05,,,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,539,4561.676424,-1.612392,194.0,42.925999999999995,36.068,4561.676424
4160.01,,0.5,-5.57,1.86,14966.41,metal loss,External,19.0,0.095,,,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1975.33,2743.51,,,,,,,2015,540,4561.761768,-1.6977360000000001,170.0,18.034,21.081999999999997,4561.761768
4160.01,,0.5,-5.71,1.72,14966.55,metal loss,External,13.0,0.065,,,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1977.87,2747.05,,,,,,,2015,541,4561.80444,-1.7404080000000002,173.5,14.985999999999999,18.034,4561.80444
4160.01,,,,,14966.93,Tap,,,,,,,,,42.56,,,,,,,,,,,,,,,,2015,542,4561.920264,,90.0,,,4561.920264
4160.01,,0.5,-6.22,1.21,14967.06,cluster,External,51.0,0.255,,,,,0.7,42.56,,,,1160.0,60000.0,,1800.0,1894.93,2631.84,1993.01,2768.07,2006.36,2786.6,0.58,2.39,2015,543,4561.959888,-1.895856,140.5,44.196,132.07999999999998,4561.959888
4160.01,,0.5,-6.65,0.78,14967.49,metal loss,External,19.0,0.095,,,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1956.27,2717.04,,,,,,,2015,544,4562.0909520000005,-2.02692,150.5,42.925999999999995,38.099999999999994,4562.0909520000005
4160.01,,0.5,-6.67,0.76,14967.51,metal loss,External,14.0,0.07,,,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1952.91,2712.38,,,,,,,2015,545,4562.0970480000005,-2.033016,172.5,56.896,18.034,4562.0970480000005
4160.01,,0.5,-7.09,0.35,14967.92,cluster,External,24.0,0.12,,,near girth weld,,0.7,42.56,,,,1160.0,60000.0,,1800.0,1913.9,2658.2,2022.25,2808.69,2031.08,2820.94,0.57,2.42,2015,546,4562.222016000001,-2.161032,174.5,68.58,78.74,4562.222016000001
4160.01,,0.5,-7.22,0.21,14968.06,metal loss,External,10.0,0.05,,,near girth weld,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,547,4562.264688,-2.200656,228.0,20.066,38.862,4562.264688
4160.02,,0.5,-0.04,3.77,14968.31,metal loss,External,15.0,0.075,,,affecting girth weld,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1974.74,2742.69,,,,,,,2015,549,4562.340888,-0.012192000000000001,126.0,22.098,35.05199999999999,4562.340888
