weld_uid_prev,weld_uid_later,distance_prev_m,distance_later_m,segment_id,scale,offset,segment_length_prev_m,segment_length_later_m,align_flag
W138,W138,1417.902168,1275.3880512,138,0.9896687031242452,155.69052938873756,12.14628000000016,12.273076799999899,
W139,W139,1430.0484480000002,1287.661128,139,1.0010237459112408,141.0690821851465,12.21943199999987,12.206935200000089,
W140,W140,1442.26788,1299.8680632,140,0.9964457037754999,147.01993294938006,12.21943199999987,12.263018399999964,
W141,W141,1454.487312,1312.1310816,141,0.9969095803010756,146.41126614214772,12.192000000000007,12.229795199999899,
W142,W142,1466.679312,1324.3608768,142,0.9920123040285627,152.89702724034464,12.1889520000002,12.28709760000038,
W143,W143,1478.8682640000002,1336.6479744000003,143,0.9989521480964125,143.6208987244013,12.20419199999992,12.216993599999796,
W144,W144,1491.072456,1348.864968,144,1.0855901295879449,26.757960592240806,8.528303999999935,7.855915200000027,
W145,W145,1499.60076,1356.7208832000001,145,3.4648132059078245,-3201.183672842287,12.155424000000039,3.508248000000094,
W146,W146,1511.756184,1360.2291312000002,146,13.411843876178066,-16731.424559483734,12.149327999999969,0.9058655999999701,
W147,W147,1523.905512,1361.1349968000002,147,0.9131598029655356,280.9717465126171,11.13129600000002,12.1898663999998,
W148,W148,1535.036808,1373.3248632,148,0.9953795707472126,168.05729517150962,12.213336000000027,12.270028800000091,
W149,W149,1547.250144,1385.594892,149,0.7618738450781567,491.60163591130686,9.299447999999984,12.206020800000033,
W150,W150,1556.549592,1397.8009128,150,0.9961704878898084,164.1015747232043,12.210288000000219,12.257227199999988,
W151,W151,1568.7598800000003,1410.05814,151,1.0040020010004906,153.0586859129703,12.234671999999819,12.185903999999937,
W152,W152,1580.994552,1422.244044,152,0.9659586124461307,207.16566869798635,11.823191999999835,12.23985360000006,
W153,W153,1592.817744,1434.4838976,153,1.3723946746980022,-375.8603180062746,12.222480000000132,8.90595119999989,
W154,W154,1605.040224,1443.3898488,154,3.705588452997648,-3743.5685328873005,12.207240000000183,3.2942784000001666,
W155,W155,1617.2474640000003,1446.6841272000001,155,0.9960515533040106,176.2754919621832,12.225527999999713,12.273991199999955,
W156,W156,1629.472992,1458.9581184,156,1.0041757307529078,164.42265731779253,12.240768000000116,12.1898663999998,
W157,W157,1641.71376,1471.1479848,157,0.9967669733896852,175.32203578256963,12.216383999999834,12.256008000000065,
W158,W158,1653.930144,1483.4039928,158,0.5723779543296791,804.8624011566579,6.982968000000028,12.19992480000019,
W159,W159,1660.913112,1495.6039176000002,159,1.4260838663824056,-471.94350538768117,12.23162400000001,8.577071999999816,
W160,W160,1673.144736,1504.1809896,160,1.0033051229405736,163.9922433044983,12.213336000000254,12.173102400000062,
W161,W161,1685.3580720000002,1516.354092,161,0.5759871556871112,811.957591534408,6.998207999999977,12.149937600000158,
W162,W162,1692.3562800000002,1528.5040296000002,162,1.0930853964445317,21.570846837619683,12.21943199999987,11.178844799999979,
W163,W163,1704.575712,1539.6828744000002,163,0.38255872063969076,1115.5566013786943,4.666488000000072,12.19809599999985,
W164,W164,1709.2422000000001,1551.8809704,164,1.3067588726513373,-318.6920273689673,12.210287999999991,9.343948800000135,
W165,W165,1721.4524880000001,1561.2249192000002,165,1.0015000000000174,157.88573142117275,12.210287999999991,12.19199999999978,
W166,W166,1733.6627760000001,1573.4169192,166,0.9939938449319679,169.6960428033808,12.207239999999956,12.281001600000309,
W167,W167,1745.870016,1585.6979208000002,167,0.6836215140472057,661.8528025611979,8.06196,11.793016799999805,
W168,W168,1753.931976,1597.4909376,168,0.9938875913134185,166.20555588372144,12.192000000000007,12.266980800000056,
W169,W169,1766.123976,1609.7579184,169,1.0009246994726597,154.8775153017457,12.207239999999956,12.195962400000099,
W170,W170,1778.331216,1621.9538808000002,170,0.994064913456996,166.003771851309,12.201143999999886,12.273991199999955,
W171,W171,1790.53236,1634.2278720000002,171,1.0005240959345265,155.44799581619463,12.219432000000097,12.213031199999932,
W172,W172,1802.751792,1646.4409032,172,0.9961971515919846,162.57205396762538,12.216384000000062,12.263018399999964,
W173,W173,1814.968176,1658.7039216,173,1.745215154553742,-1079.8270448940418,12.201143999999886,6.991197600000078,
W174,W174,1827.16932,1665.6951192000001,174,1.2541481435101367,-261.859121398576,12.210288000000219,9.735921599999983,
W175,W175,1839.3796080000002,1675.4310408000001,175,33.00268096517095,-53454.33651066672,11.256264000000101,0.3410711999997602,
W176,W176,1850.6358720000003,1675.7721119999999,176,5.7134703196335535,-7723.838352381634,12.20419199999992,2.136038400000416,
W177,W177,1862.8400640000002,1677.9081504000003,177,0.9938458484292015,195.2580146794396,12.207239999999729,12.282830399999739,
W178,W178,1875.047304,1690.1909808,178,1.749606436942477,-1082.1217156697987,12.195048000000043,6.9701663999999255,
W179,W179,1887.242352,1697.1611472,179,0.9933511957924105,201.36529697646074,12.204192000000148,12.285878400000001,
W180,W180,1899.4465440000001,1709.4470256,180,2.6107636174092996,-2563.5155563250228,12.213336000000027,4.6780704000002515,
W181,W181,1911.6598800000002,1714.1250960000002,181,0.997675755379527,201.51883003319563,12.16761600000018,12.195962399999871,
W182,W182,1923.8274960000003,1726.3210584,182,0.9963017200724595,203.89085611877135,12.234671999999819,12.280087200000025,
W183,W183,1936.0621680000002,1738.6011456,183,1.0023490603758693,193.37694333943,12.225528000000168,12.196876799999927,
W184,W184,1948.2876960000003,1750.7980224,184,0.7282302050027939,673.3036932291623,5.900927999999794,8.10310800000002,
W185,W185,1954.1886240000001,1758.9011304,185,0.9981007596960921,198.62806951744483,12.173711999999796,12.196876800000155,
W186,W186,1966.362336,1771.0980072000002,186,0.9944572863073036,205.0810179756145,12.19504800000027,12.263018399999737,
W187,W187,1978.5573840000002,1783.3610256,187,0.9983510718033013,198.1369926800055,12.179807999999866,12.19992480000019,
W188,W188,1990.737192,1795.5609504000001,188,0.9922622885769439,209.06977407670342,12.195048000000043,12.290145600000187,
W189,W189,2002.93224,1807.8510960000003,189,0.9960893715595329,202.15097791214703,12.188951999999972,12.236805599999798,
W190,W190,2015.121192,1820.0879016000001,190,0.9910893792350424,211.25140345004502,12.170664000000215,12.280087200000025,
W191,W191,2027.2918560000003,1832.3679888000001,191,1.2921675067855514,-340.434519601351,12.188951999999745,9.432950399999982,
W192,W192,2039.480808,1841.8009392000001,192,16.337970540100756,-28051.808677379504,12.170663999999988,0.7449311999998827,
W193,W193,2051.651472,1842.5458704,193,12.23684210526353,-20495.291415790158,12.188951999999972,0.9960863999999674,
W194,W194,2063.840424,1843.5419568,194,9.472748815164284,-15399.569462982845,9.747503999999935,1.0290048000001661,
W195,W195,2073.587928,1844.5709616000001,195,1.0797489832745553,81.91430763463109,12.219432000000324,11.31691920000003,
W196,W196,2085.8073600000002,1855.8878808000002,196,0.5163192882490816,1127.5766503152477,6.297167999999601,12.196267199999966,
W197,W197,2092.104528,1868.0841480000001,197,0.994207294334128,234.8416416284449,12.188952000000427,12.25997039999993,
W198,W198,2104.2934800000003,1880.3441184,198,1.0001750306303585,223.62024378366573,12.192000000000007,12.189866400000028,
W199,W199,2116.4854800000003,1892.5339848,199,0.99108716701012,240.8193345341947,12.16761600000018,12.27703919999999,
W200,W200,2128.6530960000005,1904.811024,200,0.8187207332868216,569.1448176578988,10.018775999999889,12.23711040000012,
W201,W201,2138.6718720000003,1917.0481344000002,201,0.9909842968246662,238.90727455257797,12.195047999999588,12.30599519999987,
W202,W202,2150.86692,1929.3541296,202,0.9979059679912454,225.55291970360508,12.201144000000113,12.226747199999863,
W203,W203,2163.068064,1941.5808768,203,1.2037594890950774,-174.12834029354008,12.179808000000321,10.11814080000022,
